batter,player,seasons_qualified,first_season,last_season,plate_appearances,opportunities,chases,chase_rate,cost_per_chase,cost_per_chase_se,runs_saved_per_600_pa,runs_saved_shrunk,standard_error_per_600_pa,chase_plus,chase_plus_raw,chase_plus_se,chase_plus_posterior_sd,league_chase_cost_per_600_pa,runs_saved_vs_anchor_per_600_pa,runs_saved_count_only_per_600_pa,shrinkage_factor,chase_rate_rank,value_rank,rank_gap,total_cost,expected_cost,expected_cost_anchor
672695,Geraldo Perdomo,3,2024,2026,1715,3343,663,19.832485791205503,0.08349593482933367,0.012069494964131953,21.63018986208873,18.924783394318148,2.850297677794118,148.39596689433722,155.31444829102583,7.289008765878162,6.786975310927116,39.10405062396329,18.994292437910534,21.668512879163682,0.13300699475677819,16.0,1.0,15.0,55.357804791848224,117.18409748098517,109.64982401020916
665742,Juan Soto,3,2024,2026,1811,3917,691,17.641051825376564,0.10763649568668085,0.011712053094614304,21.310975042934714,18.800507426677754,2.7554146012881393,149.1811025587974,155.74834899016093,7.208014391444891,6.740973503925863,38.227096279920154,19.524389675638325,21.811577435667388,0.12539098390723574,1.0,2.0,-1.0,74.37681851949647,138.70044485742108,133.3079346904648
650402,Gleyber Torres,3,2024,2026,1668,3514,680,19.351166761525327,0.12075986752164045,0.009568208096575355,17.56728496525665,15.870413226778492,2.482551384802614,141.47225255519575,145.9064844990243,6.48735458494952,6.139906960591364,38.267545766067165,15.6113454707176,16.980648754509495,0.10424692424869585,13.0,3.0,10.0,82.1167099147155,130.953762118129,125.51625032331043
678246,Miguel Vargas,2,2025,2026,1189,2388,510,21.35678391959799,0.0971546632513022,0.014439516925022152,19.09153013938123,15.30239392038793,3.784186297450805,138.08262880570143,147.5125434238256,9.417595890368197,8.355414944786778,40.18208406373716,15.47734855870268,18.844960365856764,0.21285282091518049,35.0,4.0,31.0,49.54887825816412,87.38192715103793,80.2198239853266
680757,Steven Kwan,3,2024,2026,1803,3466,722,20.830929024812463,0.09763972166063589,0.008790385101922255,15.660387346699649,14.452309621880875,2.204650813662217,137.21824061065308,140.32933694162304,5.677516368810939,5.433634310776975,38.831254204273556,13.580745127381558,14.715524099567396,0.08406633195377701,28.0,5.0,23.0,70.49587903897911,117.55534301581156,111.30601814676069
666018,Jonathan Aranda,2,2025,2026,1022,2051,585,28.522671867381764,0.07049841995776432,0.01371107426615049,18.125657068172483,13.166777418277654,4.7021951270307065,132.43271442820824,144.64754289076234,11.582557135734469,9.728356820182817,40.59721071889651,14.363447974246906,18.90641178214769,0.294543758170362,203.0,6.0,197.0,41.241575675292125,72.11561154807926,65.70731539142602
595777,Jurickson Profar,2,2024,2025,1035,2113,483,22.85849503076195,0.08228468649512086,0.014503256987783309,16.791275291828082,13.012720385117657,4.131490924516174,135.31871551814754,145.57435014873823,11.21356244584178,9.751574374092893,36.84369659035712,16.19829863947538,17.429515614729574,0.24375544092573834,54.0,7.0,47.0,39.74350357714337,68.70845345554682,67.6855687302384
664238,Dylan Moore,1,2024,2024,438,854,154,18.0327868852459,0.09844393645044168,0.01975943979269274,17.111719201605286,12.896291561582052,4.385632052722736,135.21244182264365,146.722378599668,11.97466828154403,10.256143845076625,36.62424669819118,17.111719201605286,17.00812431216264,0.26643057205860166,3.0,8.0,-5.0,15.160366213368018,27.651921230539877,27.651921230539877
663457,Lars Nootbaar,3,2024,2026,1254,2501,495,19.792083166733306,0.11027961687635375,0.013149628825952376,14.859944660475835,12.67401244203533,3.1888105905003323,133.12076407860295,138.83322062146226,8.333260184361247,7.6326266943822265,38.266062980784724,13.004286891347112,14.457573396213817,0.16108461258959325,15.0,9.0,6.0,54.588410353795105,85.6456946941896,81.76736995671057
608385,Jesse Winker,1,2024,2024,504,958,185,19.31106471816284,0.09255545090026646,0.024379064043597083,18.94736762842716,12.433235772044426,5.563916619784336,133.94809966878714,151.73449104514398,15.191893680803352,12.068564513686812,36.62424669819118,18.94736762842716,19.316708428824267,0.36891565359259393,12.0,10.0,2.0,17.122758416549296,33.03854722442811,33.03854722442811
669364,Xavier Edwards,2,2025,2026,1186,2211,550,24.875621890547265,0.08638899376419222,0.012290076352307824,14.744102329813,12.229936474696787,3.488570553114729,130.60878382086744,136.90117620641058,8.73110846692113,7.8731757935175,39.95564327635608,11.619993576387705,14.133194339174244,0.18686785500555492,95.0,11.0,84.0,47.51394657030572,76.65812217556942,70.48280053963208
802139,Jj Wetherholt,1,2026,2026,583,1150,244,21.217391304347824,0.10476687027527418,0.017477611844549837,16.206878341481012,12.007385609685077,4.5552464525584,127.99182156947248,137.78175045589987,10.619268011359509,9.00120905925977,42.89604940458815,11.323886479155506,15.83042552381534,0.2815235563427424,33.0,12.0,21.0,25.5631163471669,41.31079980230595,36.56615937607967
663757,Trent Grisham,2,2025,2026,1068,2094,381,18.19484240687679,0.13888705164669612,0.015114437021730494,14.061648305991797,11.757783879876655,3.413963761870581,129.5340126547422,135.32101825127722,8.575429687773342,7.763549414976919,39.81099357316328,10.668948240771032,13.999948143736203,0.1803869541456118,4.0,13.0,-9.0,52.915966677391225,77.94570066205662,71.90669454596366
670623,Isaac Paredes,3,2024,2026,1667,3788,976,25.76557550158395,0.10209587214470955,0.009738521176625475,13.971572794563809,11.616830252265483,3.474929330545469,129.79456525483266,135.8339519731809,8.912414698895855,8.042533932697514,38.989762572156486,11.285589204596194,13.49722785180521,0.18568013115311793,117.0,14.0,103.0,99.64557121323652,138.4632576274663,131.00069988667295
672515,Gabriel Moreno,3,2024,2026,1146,2463,650,26.39058059277304,0.08809574432998665,0.01189390554846851,14.935776619450346,11.609880868169174,4.131186040867429,129.42628389937428,137.85606485132612,10.470861386096836,9.10586807222922,39.454118324522945,12.253806254676602,14.393645350857179,0.24372823437366115,137.0,15.0,122.0,57.262233814491324,85.78956715764149,80.66700376092363
572138,Jon Singleton,1,2024,2024,406,840,191,22.738095238095237,0.08146520505278847,0.019543975707983025,17.715575625574758,11.545124129308387,5.64476375647721,131.5231715875226,148.37116725311296,15.412641256471213,12.178347562200598,36.62424669819118,17.715575625574758,16.998946595589338,0.37565794586079093,51.0,16.0,35.0,15.559854165082596,27.547393671721515,27.547393671721515
687462,Spencer Horwitz,3,2024,2026,1200,2418,598,24.731182795698924,0.09360183888137097,0.01188974801333289,13.49032209004544,11.076785966868968,3.6138029827006553,128.42351787315988,134.61675726045254,9.273176711737548,8.305457459229054,38.97049624996873,11.299863567117455,13.169888642808708,0.19782329790047415,90.0,17.0,73.0,55.97389965105984,82.95454383115072,78.57362678529475
673548,Seiya Suzuki,3,2024,2026,1796,3863,819,21.201139011131247,0.1217231407243804,0.009992368379706195,12.53672526250185,11.0629735744781,2.8258975099158414,128.49916117754412,132.29567091427174,7.279752415942243,6.786054496182697,38.818593661609796,9.799663386234554,12.59219842013543,0.1310366344684456,32.0,18.0,14.0,99.69125225326755,137.21784987235642,129.02491132272965
805808,Kevin Mcgonigle,1,2026,2026,632,1273,251,19.7172034564022,0.12997448441730083,0.015177696450418342,13.820656376562308,11.057586406282404,3.8704362626075697,125.77763351116359,132.21894922352465,9.02282684846402,7.966178652481063,42.89604940458815,8.56225643667189,14.15263028310672,0.2205023013695818,14.0,19.0,-5.0,32.62359558874251,47.181353638721475,41.6425057020369
