game_year,base_state,outs_when_up,occurrences,run_expectancy
2024,123,0,687,2.3173216885007277
2024,123,1,1471,1.5859959211420802
2024,123,2,1889,0.8025410269984119
2024,12_,0,2628,1.4840182648401827
2024,12_,1,4464,0.9202508960573477
2024,12_,2,5459,0.4445869206814435
2024,1_3,0,893,1.8902575587905934
2024,1_3,1,1966,1.2105798575788402
2024,1_3,2,2808,0.49786324786324787
2024,1__,0,10488,0.8882532418001525
2024,1__,1,13054,0.5255860272713344
2024,1__,2,13465,0.22673598217601187
2024,_23,0,527,2.0075901328273247
2024,_23,1,1232,1.4196428571428572
2024,_23,2,1377,0.6078431372549019
2024,_2_,0,2863,1.0509954593084176
2024,_2_,1,4272,0.6647940074906367
2024,_2_,2,5554,0.3451566438602809
2024,__3,0,292,1.4143835616438356
2024,__3,1,1386,0.9545454545454546
2024,__3,2,2346,0.35080988917306055
2024,___,0,44462,0.4844811299536683
2024,___,1,32562,0.2609176340519624
2024,___,2,26004,0.09733117981848946
2025,123,0,704,2.475852272727273
2025,123,1,1531,1.5852384062704115
2025,123,2,1912,0.7494769874476988
2025,12_,0,2656,1.5745481927710843
2025,12_,1,4636,0.9497411561691113
2025,12_,2,5510,0.45644283121597096
2025,1_3,0,895,1.8279329608938548
2025,1_3,1,2004,1.2075848303393213
2025,1_3,2,2881,0.4779590419993058
2025,1__,0,10554,0.8835512601857116
2025,1__,1,13058,0.5157757696431307
2025,1__,2,13488,0.2257562277580071
2025,_23,0,542,2.0018450184501844
2025,_23,1,1275,1.3976470588235295
2025,_23,2,1373,0.619810633648944
2025,_2_,0,2878,1.0945100764419735
2025,_2_,1,4384,0.6489507299270073
2025,_2_,2,5588,0.32158196134574085
2025,__3,0,276,1.2717391304347827
2025,__3,1,1323,0.8828420256991686
2025,__3,2,2295,0.33464052287581697
2025,___,0,44574,0.49454839143895546
2025,___,1,32419,0.2640118449057651
2025,___,2,25800,0.10232558139534884
2026,123,0,733,2.461118690313779
2026,123,1,1542,1.6335927367055771
2026,123,2,1905,0.7322834645669292
2026,12_,0,2455,1.5380855397148676
2026,12_,1,4253,0.9217023277686339
2026,12_,2,5239,0.4483680091620538
2026,1_3,0,821,1.7551766138855054
2026,1_3,1,1795,1.166016713091922
2026,1_3,2,2611,0.5158942933741861
2026,1__,0,9639,0.8829754123871771
2026,1__,1,11919,0.5269737394076685
2026,1__,2,12180,0.23218390804597702
2026,_23,0,456,1.9978070175438596
2026,_23,1,1196,1.367056856187291
2026,_23,2,1240,0.5096774193548387
2026,_2_,0,2461,1.1223080048760667
2026,_2_,1,3835,0.6623207301173403
2026,_2_,2,4965,0.31137965760322256
2026,__3,0,218,1.4311926605504588
2026,__3,1,1158,0.917098445595855
2026,__3,2,2056,0.3769455252918288
2026,___,0,39972,0.49462123486440507
2026,___,1,29054,0.2639911888208164
2026,___,2,23010,0.10195567144719687
