game_year,event,occurrences,run_value
2024,field_out,73727,-0.2350284716073595
2024,strikeout,41012,-0.26131436702348415
2024,single,25688,0.46966385781169784
2024,walk,14338,0.33008345324577526
2024,double,7730,0.7445470542434592
2024,home_run,5388,1.400390482030037
2024,force_out,3462,-0.33485272089769247
2024,grounded_into_double_play,3221,-0.8015122468927586
2024,hit_by_pitch,2007,0.3528650298863776
2024,sac_fly,1236,-0.027430737387921948
2024,field_error,1108,0.44444925702153176
2024,triple,687,1.051712002593861
2024,intent_walk,451,0.19831406002016896
2024,sac_bunt,429,-0.06398584351114407
2024,fielders_choice,369,0.7198590544714125
2024,double_play,339,-0.9146370117357311
2024,truncated_pa,315,-0.26884554240061564
2024,fielders_choice_out,312,-0.6428138231353436
2024,strikeout_double_play,111,-0.6438176584073682
2024,catcher_interf,100,0.3621350375170864
2024,sac_fly_double_play,13,-0.5584345611967889
2024,triple_play,2,-1.687137911815388
2025,field_out,74198,-0.23991102335638415
2025,strikeout,40456,-0.26618648200630857
2025,single,25877,0.46946873768672764
2025,walk,14725,0.3368124970436596
2025,double,7698,0.7507093882402933
2025,home_run,5593,1.386518446165428
2025,force_out,3348,-0.34695211913304663
2025,grounded_into_double_play,3110,-0.8030773593180586
2025,hit_by_pitch,1908,0.3523960626723561
2025,sac_fly,1269,-0.031746831414879696
2025,field_error,1005,0.436092850516323
2025,triple,618,0.9774559305390504
2025,sac_bunt,534,-0.0871647025582986
2025,intent_walk,487,0.22244363189080624
2025,double_play,376,-0.9236526126702486
2025,fielders_choice,374,0.7453509921700814
2025,fielders_choice_out,324,-0.6514095819975377
2025,truncated_pa,312,-0.2681187033107816
2025,strikeout_double_play,125,-0.6915637160471124
2025,catcher_interf,84,0.3816296269813517
2025,sac_fly_double_play,15,-0.5945498062824818
2025,triple_play,3,-1.5745481927710843
2026,field_out,66512,-0.24204450599578023
2026,strikeout,36306,-0.2678531903682619
2026,single,23158,0.4708719945233958
2026,walk,14117,0.33726526069922
2026,double,6719,0.7466078321146777
2026,home_run,4939,1.394560768334038
2026,force_out,3048,-0.3478350207310778
2026,grounded_into_double_play,2797,-0.7989141262979431
2026,hit_by_pitch,1888,0.3581877631524354
2026,sac_fly,1143,-0.030087067860081657
2026,field_error,923,0.44766196704542827
2026,sac_bunt,585,-0.07793474487167171
2026,triple,578,1.0691485410706802
2026,intent_walk,446,0.2205097184381711
2026,fielders_choice,366,0.7748392418261771
2026,double_play,343,-0.885782306360916
2026,truncated_pa,290,-0.28300008868349863
2026,fielders_choice_out,284,-0.6512013242343699
2026,strikeout_double_play,89,-0.6798205163952997
2026,catcher_interf,75,0.31667775882461996
2026,sac_fly_double_play,10,-0.5941771453506879
2026,triple_play,1,-1.5380855397148676
