batter,player,game_year,plate_appearances,chases,chases_in_play,chase_rate,chase_plus,xchase_plus,luck,luck_raw,luck_se,luck_z,chase_plus_rank,xchase_plus_rank,rank_move,chase_plus_raw,xchase_plus_raw,chase_plus_se,xchase_plus_se,league_chase_cost_per_600_pa
642708,Amed Rosario,2024,346,242,77,39.03225806451613,94.59926297837043,71.7330280430319,22.86623493533854,20.16174745072825,23.073623786853176,0.8738006494764794,180.0,259.0,79.0,80.75938039346576,60.59763294273751,27.510016067031813,11.7204828262363,36.03869116391255
678662,Ezequiel Tovar,2024,695,570,105,43.81245196003075,76.91605366290852,57.38966452919207,19.526389133716457,15.10550154330894,11.29873342323549,1.3369198986715582,254.0,267.0,13.0,61.11245184969256,46.00695030638362,15.726561784185858,9.819177451012786,36.03869116391255
647351,Abraham Toro,2024,362,214,47,30.96960926193922,103.9755496270052,85.79131255906762,18.184237067937573,23.937447252041366,12.201357661435658,1.9618675164075794,113.0,217.0,104.0,105.56623902232816,81.6287917702868,16.423664895677835,9.639132075902909,36.03869116391255
678882,Ceddanne Rafaela,2024,569,496,117,46.70433145009416,74.09478641144328,57.1157848431665,16.97900156827678,10.541662289171839,13.293244352393495,0.7930089908618716,257.0,268.0,11.0,54.252099587808935,43.710437298637096,16.696906109317183,10.62418795981421,36.03869116391255
547180,Bryce Harper,2024,622,462,82,33.261339092872575,102.39476123763532,85.70481757033602,16.689943667299303,21.45665958543165,13.20919436584934,1.6243730685729831,123.0,219.0,96.0,102.88929600720267,81.43263642177102,16.48483603615169,9.741052072247488,36.03869116391255
690993,Colt Keith,2024,552,306,75,29.9412915851272,108.97105266486903,92.74538755998412,16.22566510488491,23.881145276055406,13.00731895023156,1.8359775267623668,87.0,190.0,103.0,114.26791747078296,90.38677219472756,16.79328712728447,9.370205898748926,36.03869116391255
666969,Adolis García,2024,634,469,106,33.765298776097914,96.2144467297595,80.00979972002725,16.204647009732255,17.858080228972725,12.672430563294219,1.40920718719097,170.0,246.0,76.0,92.12162448205174,74.26354425307902,17.02451659450917,9.809767654282927,36.03869116391255
643396,Isiah Kiner-Falefa,2024,495,242,79,30.32581453634085,96.76096329516038,80.58211629435074,16.17884700080964,17.433950213151064,12.33560830915333,1.4133028364895988,166.0,241.0,75.0,94.45635941068112,77.02240919753005,13.464737398977809,7.818242153749929,36.03869116391255
641584,Jake Fraley,2024,381,197,53,31.72302737520129,103.11529778653706,87.28251902223833,15.832778764298723,20.66035306690044,13.348061975028633,1.5478166872128358,120.0,212.0,92.0,104.01076965051216,83.35041658361172,15.602756623223796,9.798614694830938,36.03869116391255
607680,Kevin Pillar,2024,314,234,64,38.48684210526316,98.71218664508808,83.56664029908794,15.145546346000145,18.753686890209593,18.544439601408193,1.011283559562809,149.0,229.0,80.0,93.7741990914212,75.0205122012116,25.358844800721464,13.003900944270727,36.03869116391255
608070,José Ramírez,2024,672,452,149,31.652661064425768,117.50514915782514,103.6469343439356,13.858214813889546,23.880904153057585,12.877506216029847,1.8544665211134412,41.0,116.0,75.0,127.65143082989702,103.77052667683944,15.770761794625551,9.921192776378938,36.03869116391255
664983,Jake Mccarthy,2024,489,265,65,31.13983548766158,107.81930311997132,94.92727838042748,12.892024739543842,17.231298351153782,11.147527147533834,1.5457507412274711,93.0,179.0,86.0,110.71676242044634,93.48546406929256,13.536990473907794,8.239945805134699,36.03869116391255
595909,Jake Cave,2024,347,218,44,33.59013867488444,97.86121193918083,85.17958145432345,12.68163048485738,15.325552974717738,14.608164737399576,1.0491087176393565,154.0,222.0,68.0,94.4254346299668,79.09988165524906,18.654020472464,11.449445342157455,36.03869116391255
596146,Max Kepler,2024,399,227,44,30.42895442359249,96.17791335269688,84.209804049709,11.96810930298787,13.0158369802176,12.307288755742125,1.0575714309250193,171.0,226.0,55.0,92.25678140747546,79.24094442725786,16.608287631536932,10.082422007159744,36.03869116391255
519203,Anthony Rizzo,2024,375,250,77,33.96739130434783,98.95662174657416,87.08900223815056,11.867619508423601,15.541181813420778,13.834245218667448,1.1233848733901326,147.0,214.0,67.0,96.43710985884236,80.89592804542158,18.906738368103447,12.22291557398952,36.03869116391255
691026,Masyn Winn,2024,635,377,113,30.501618122977348,122.74094447795488,111.59010032934718,11.150844148607703,23.851869166684452,12.497698877769922,1.9085008688367884,29.0,82.0,53.0,137.5470933808492,113.69522421416474,16.512916244126675,9.839447127405847,36.03869116391255
662139,Daulton Varsho,2024,508,269,65,25.965250965250963,110.22691120648416,99.1355043822342,11.091406824249958,18.738047957474436,14.357841643152032,1.3050741485515367,83.0,154.0,71.0,116.9001524280412,98.16210447056676,17.40783631530902,9.683396414301546,36.03869116391255
621043,Carlos Correa,2024,364,184,57,25.662482566248254,123.48151446474034,112.84858542588157,10.632929038858776,36.621171736614,19.166412343473045,1.9106951828199097,28.0,74.0,46.0,152.8670353219929,116.24586358537888,22.864503576963504,11.659586995627324,36.03869116391255
607208,Trea Turner,2024,539,353,70,34.4390243902439,83.19756964638762,72.90653372681108,10.291035919576544,7.670715478623052,9.775346438836758,0.7847001153992705,236.0,258.0,22.0,73.7104038388555,66.03968836023245,14.10350009449668,9.380694327787358,36.03869116391255
519317,Giancarlo Stanton,2024,457,294,57,31.11111111111111,88.00166466277078,77.77310472129281,10.228559941477968,2.7314778351011455,16.31431322283989,0.167428306530066,217.0,251.0,34.0,69.45856530545501,66.72708747035387,22.917893857860463,12.987985754990875,36.03869116391255
665828,Oswaldo Cabrera,2024,327,195,41,29.367469879518072,110.33807929367052,100.143906244474,10.194173049196522,24.713881436210144,18.94619644605738,1.3044244266427942,81.0,145.0,64.0,123.65610725172338,98.94222581551324,24.433582476621133,12.428179009630504,36.03869116391255
663616,Trevor Larnach,2024,399,207,36,25.81047381546135,97.55333076178714,87.39547099679325,10.157859764993887,12.184251099854947,11.36828319197728,1.0717758252586023,157.0,211.0,54.0,94.33136119747748,82.14711009762253,17.37891449551341,11.36094355621628,36.03869116391255
609280,Miguel Andújar,2024,319,220,62,36.24382207578254,97.99531177710956,88.07952262997077,9.915789147138796,10.151823996906842,19.927355464152807,0.5094416073005218,153.0,208.0,55.0,91.98897285137949,81.83714885447264,25.107775012220277,12.66806592033858,36.03869116391255
664728,Kyle Isbel,2024,426,240,60,30.967741935483872,101.70063331145894,91.78849130182029,9.912142009638657,13.238030301509411,13.41175227684191,0.987047033695033,129.0,195.0,66.0,101.7086834481738,88.47065314666439,16.538539349497622,10.635573508344455,36.03869116391255
683737,Michael Busch,2024,565,284,55,23.37448559670782,123.80797775440244,114.04754031133749,9.760437443064959,21.25410479598348,12.131716334200341,1.7519454140273911,24.0,71.0,47.0,137.52701483886008,116.2729100428766,15.507007892640498,8.901919791051766,36.03869116391255
650559,Bryan De La Cruz,2024,622,400,87,32.70645952575634,92.87140693204168,83.25414957278048,9.617257359261203,10.522278646419323,8.746899991895546,1.2029723280440794,191.0,230.0,39.0,88.96497294998039,78.44269430356107,13.10558044208918,9.680355134950544,36.03869116391255
664023,Ian Happ,2024,657,311,63,23.34834834834835,118.86457469414007,109.36674531386991,9.497829380270161,17.405146111026696,9.924284283742843,1.7537935848470598,35.0,93.0,58.0,127.9689400150786,110.5637939040519,14.335688241101533,8.64715762178672,36.03869116391255
657757,Gavin Sheets,2024,500,364,92,32.38434163701068,109.69693047697692,100.3055046237276,9.391425853249316,15.569904744517459,10.630825917656036,1.4645997277274978,84.0,143.0,59.0,114.95545541734542,99.38555067282796,15.956013555273756,11.177720939953634,36.03869116391255
592696,Eddie Rosario,2024,322,212,52,34.75409836065574,91.24222053226276,81.95798646868195,9.284234063580811,1.428239130462373,19.15663928931698,0.0745558293859432,200.0,237.0,37.0,75.41950647205508,73.9912673415927,24.232106801702013,12.069651178828291,36.03869116391255
553869,Elías Díaz,2024,349,228,49,33.38213762811127,103.10619096946658,93.96697178415594,9.139219185310637,13.70524754342756,13.900220125437269,0.9859734176689109,121.0,184.0,63.0,104.4426176606858,90.73737011725824,19.12225328569132,11.670432457635409,36.03869116391255
666163,Ben Rortvedt,2024,328,190,41,27.94117647058824,100.15903947985016,91.11390802446113,9.04513145538904,12.896802026525933,11.481162846554971,1.1233010278567503,139.0,196.0,57.0,98.85378656274204,85.95698453621611,18.185369245693902,12.882933222304356,36.03869116391255
641355,Cody Bellinger,2024,564,335,112,32.4298160696999,105.74891544383482,96.71893670436586,9.029978739468959,13.326358028214258,13.502701767268613,0.9869401144975428,104.0,166.0,62.0,108.55626334693058,95.22990531871632,16.373747011114077,9.467026337104484,36.03869116391255
671289,Tyler Freeman,2024,380,194,46,29.260935143288087,108.33061522327914,99.68745805009335,8.643157173185784,15.927900988175296,15.141101627428911,1.051964472606211,90.0,149.0,59.0,114.6970405844764,98.7691395963011,19.27812483172384,10.125338954371808,36.03869116391255
686469,Vinnie Pasquantino,2024,556,342,93,30.92224231464738,105.23397357504832,96.63674079284596,8.597232782202369,12.733769386356741,15.680713188071895,0.8120657034938402,106.0,167.0,61.0,108.1602574271551,95.42648804079836,17.8900645691758,8.480983534025285,36.03869116391255
676356,Jonny Deluca,2024,362,262,79,37.971014492753625,96.24415981353316,87.64860457801353,8.595555235519626,8.10460014295208,17.928646804704186,0.45204750984472314,169.0,210.0,41.0,90.02985640946957,81.9252562665175,21.034941093789605,11.9603167362193,36.03869116391255
592885,Christian Yelich,2024,313,170,35,25.073746312684364,124.84870183857542,116.73894084887856,8.109760989696866,26.205935091630963,16.423546136531225,1.5956319587607557,20.0,57.0,37.0,147.46928121737952,121.26334612574855,19.45960411108048,11.36566261844926,36.03869116391255
667670,Brent Rooker,2024,610,397,58,31.137254901960787,83.44855945031622,75.34710668559494,8.101452764721287,7.7535241698297455,7.650761066104284,1.013431749186462,234.0,255.0,21.0,74.54062607603409,66.78710190620434,13.759881564013924,10.92339798874865,36.03869116391255
666310,Bo Naylor,2024,391,213,44,27.203065134099617,103.42076490098412,95.36955711611594,8.051207784868183,12.155984040999925,11.861558641450802,1.0248218137640224,117.0,176.0,59.0,104.88780313051876,92.73181908951884,18.1238612539807,11.457133261503447,36.03869116391255
657136,Connor Wong,2024,485,263,54,29.617117117117115,109.09034150853287,101.20964419383988,7.880697314692995,12.465199849343676,11.820870263564949,1.0545077960769709,86.0,135.0,49.0,113.24623932524288,100.7810394758992,14.754696428132624,9.23000248245654,36.03869116391255
670541,Yordan Álvarez,2024,623,374,105,30.88356729975227,110.51383082522273,102.87473048253617,7.639100342686561,13.018596314776246,13.356731813876449,0.9746842637995539,78.0,119.0,41.0,115.81361872906665,102.7950224142904,15.259070010233424,10.405634366117676,36.03869116391255
643289,Mauricio Dubón,2024,427,301,103,41.289437585733886,95.42722242777518,87.8600184379257,7.5672039898494745,5.9936474248463725,16.883110911839626,0.3550084730322541,174.0,209.0,35.0,89.19133737195534,83.19768994710897,19.648935817744118,10.869235096614592,36.03869116391255
669357,Nolan Gorman,2024,402,238,41,30.318471337579616,82.9992390614419,75.62351896661883,7.375720094823066,5.144088524657022,10.239205015023597,0.5023913982686445,237.0,254.0,17.0,72.12304997944808,66.97896145479106,15.020363489067268,11.03217119445148,36.03869116391255
607043,Brandon Nimmo,2024,664,331,68,24.35614422369389,128.37329741584963,121.04104196094788,7.332255454901755,15.761515528447887,8.374332234507463,1.8821220709993602,13.0,43.0,30.0,139.82967890598877,124.06816337754088,12.90161838052287,8.101491172691548,36.03869116391255
677800,Wilyer Abreu,2024,449,256,55,28.16281628162816,107.10224843888824,99.92706125155168,7.175187187336562,12.74615842342537,13.605040047044167,0.9368703347694006,97.0,147.0,50.0,111.56996239873015,98.82380397530478,17.88830421318346,11.50206240652227,36.03869116391255
